Time,Power
20180101_0,105.76
20180101_1,104.944
20180101_2,105.552
20180101_3,108.512
20180101_4,102.896
20180101_5,98.656
20180101_6,105.376
20180101_7,102.144
20180101_9,98.544
20180101_10,99.168
20180101_11,97.184
20180101_12,101.504
20180101_13,101.456
20180101_15,109.088
20180101_16,121.04
20180101_18,115.744
20180101_20,130.48
20180101_21,133.856
20180101_22,135.488
20180102_0,131.248
20180102_1,123.808
20180102_2,121.616
20180102_3,121.296
20180102_4,120.336
20180102_5,116.464
20180102_6,114.784
20180102_7,112.928
20180102_8,110.416
20180102_10,112.432
20180102_11,110.224
20180102_12,110.176
20180102_14,116.944
20180102_15,135.008
20180102_16,135.888
20180102_17,155.456
20180102_18,157.376
20180102_19,158.992
20180102_20,157.152
20180102_21,166.784
20180102_22,159.552
20180102_23,152.768
20180103_0,145.04
20180103_1,143.76
20180103_3,127.328
20180103_4,119.216
20180103_5,115.968
20180103_6,121.68
20180103_7,142.992
20180103_8,218.624
20180103_9,239.632
20180103_10,274.624
20180103_11,275.392
20180103_12,268.368
20180103_13,255.024
20180103_14,268.992
20180103_15,273.616
20180103_16,286.896
20180103_17,240.336
20180103_18,184.128
20180103_19,278.128
20180103_20,277.008
20180103_21,267.36
20180103_22,254.784
20180103_23,226.672
20180104_0,124.864
20180104_1,118.304
20180104_2,118.464
20180104_3,109.248
20180104_4,109.136
20180104_5,105.44
20180104_6,107.504
20180104_7,107.6
20180104_10,232.368
20180104_11,239.728
20180104_12,243.184
20180104_13,253.344
20180104_14,249.488
20180104_15,247.536
20180104_17,205.792
20180104_18,150.816
20180104_19,240.24
20180104_20,237.456
20180104_22,222.176
20180105_0,108.656
20180105_1,104.432
20180105_2,96.864
20180105_4,89.296
20180105_6,89.44
20180105_7,84.768
20180105_8,183.68
20180105_9,208.16
20180105_10,219.92
20180105_11,230.992
20180105_12,246.304
20180105_13,254.688
20180105_14,247.232
20180105_15,264.88
20180105_16,252.064
20180105_17,216.592
20180105_18,154.576
20180105_19,244.992
20180105_20,246.256
