year,month,date,time,weekend,vacation,energy_usage,templeture,windspeed,humidity,rainfall
2018,1,1,0,False,True,105.76,-2,1,70,0.0
2018,1,1,1,False,True,104.944,-2,1,67,0.0
2018,1,1,2,False,True,105.552,-2,0,63,0.0
2018,1,1,3,False,True,108.512,-3,0,64,0.0
2018,1,1,4,False,True,102.896,-3,0,73,0.0
2018,1,1,5,False,True,98.656,-4,1,78,0.0
2018,1,1,6,False,True,105.376,-4,0,77,0.0
2018,1,1,7,False,True,102.144,-4,0,82,0.0
2018,1,1,9,False,True,98.544,-4,0,80,0.0
2018,1,1,10,False,True,99.168,-1,0,69,0.0
2018,1,1,11,False,True,97.184,1,0,51,0.0
2018,1,1,12,False,True,101.504,3,1,29,0.0
2018,1,1,13,False,True,101.456,3,2,31,0.0
2018,1,1,15,False,True,109.088,4,1,35,0.0
2018,1,1,16,False,True,121.04,4,1,40,0.0
2018,1,1,18,False,True,115.744,2,1,50,0.0
2018,1,1,20,False,True,130.48,0,1,63,0.0
2018,1,1,21,False,True,133.856,0,1,68,0.0
2018,1,1,22,False,True,135.488,-1,0,71,0.0
2018,1,2,0,False,True,131.248,-2,0,77,0.0
2018,1,2,1,False,True,123.808,-2,0,79,0.0
2018,1,2,2,False,True,121.616,-3,0,81,0.0
2018,1,2,3,False,True,121.296,-3,0,83,0.0
2018,1,2,4,False,True,120.336,-4,0,85,0.0
2018,1,2,5,False,True,116.464,-4,0,86,0.0
2018,1,2,6,False,True,114.784,-4,1,88,0.0
2018,1,2,7,False,True,112.928,-4,0,88,0.0
2018,1,2,8,False,True,110.416,-4,1,89,0.0
2018,1,2,10,False,True,112.432,-2,0,85,0.0
2018,1,2,11,False,True,110.224,0,0,78,0.0
2018,1,2,12,False,True,110.176,1,0,74,0.0
2018,1,2,14,False,True,116.944,4,2,74,0.0
2018,1,2,15,False,True,135.008,4,2,71,0.0
2018,1,2,16,False,True,135.888,3,1,76,0.0
2018,1,2,17,False,True,155.456,2,1,76,0.0
2018,1,2,18,False,True,157.376,0,1,76,0.0
2018,1,2,19,False,True,158.992,0,1,64,0.0
2018,1,2,20,False,True,157.152,0,0,65,0.0
2018,1,2,21,False,True,166.784,-1,1,56,0.0
2018,1,2,22,False,True,159.552,-1,1,61,0.0
2018,1,2,23,False,True,152.768,-1,1,56,0.0
2018,1,3,0,False,True,145.04,-1,1,53,0.0
2018,1,3,1,False,True,143.76,-2,1,57,0.0
2018,1,3,3,False,True,127.328,-2,2,61,0.0
2018,1,3,4,False,True,119.216,-3,1,58,0.0
2018,1,3,5,False,True,115.968,-3,1,58,0.0
2018,1,3,6,False,True,121.68,-5,0,55,0.0
2018,1,3,7,False,True,142.992,-5,0,54,0.0
2018,1,3,8,False,True,218.624,-5,0,61,0.0
2018,1,3,9,False,True,239.632,-4,0,58,0.0
2018,1,3,10,False,True,274.624,-2,0,50,0.0
2018,1,3,11,False,True,275.392,-1,1,46,0.0
2018,1,3,12,False,True,268.368,0,1,44,0.0
2018,1,3,13,False,True,255.024,1,1,41,0.0
