datetime,weekend,vacation,season,templeture,windspeed,humidity,rainfall,energy_usage
20180106_0,True,True,0.0,-2,0,74,0.0,136.256
20180106_1,True,True,0.0,-2,1,77,0.0,129.376
20180106_2,True,True,0.0,-1,1,75,0.0,113.376
20180106_3,True,True,0.0,-2,1,78,0.0,112.976
20180106_4,True,True,0.0,-3,1,82,0.0,113.104
20180106_5,True,True,0.0,-3,1,81,0.0,114.8
20180106_6,True,True,0.0,-4,0,80,0.0,122.048
20180106_7,True,True,0.0,-4,1,83,0.0,116.368
20180106_8,True,True,0.0,-4,0,84,0.0,200.096
20180106_9,True,True,0.0,-4,0,83,0.0,208.464
20180106_10,True,True,0.0,-1,0,75,0.0,219.632
20180106_11,True,True,0.0,1,0,59,0.0,227.024
20180106_12,True,True,0.0,2,1,53,0.0,231.744
20180106_13,True,True,0.0,3,1,46,0.0,234.128
20180106_14,True,True,0.0,4,1,44,0.0,233.28
20180106_15,True,True,0.0,5,1,42,0.0,249.92
20180106_16,True,True,0.0,4,1,43,0.0,244.88
20180106_17,True,True,0.0,3,0,46,0.0,183.936
20180106_18,True,True,0.0,1,1,47,0.0,136.032
20180106_19,True,True,0.0,0,0,52,0.0,227.504
20180106_20,True,True,0.0,0,0,55,0.0,217.536
20180106_21,True,True,0.0,-1,1,61,0.0,219.344
20180106_22,True,True,0.0,-1,0,64,0.0,213.2
20180106_23,True,True,0.0,-2,0,66,0.0,203.072
20180107_0,True,True,0.0,-3,0,69,0.0,110.368
20180107_1,True,True,0.0,-3,0,71,0.0,102.544
20180107_2,True,True,0.0,-4,0,75,0.0,99.68
20180107_3,True,True,0.0,-4,1,78,0.0,100.72
20180107_4,True,True,0.0,-5,0,80,0.0,98.608
20180107_5,True,True,0.0,-5,0,82,0.0,96.368
20180107_6,True,True,0.0,-6,0,85,0.0,98.224
20180107_7,True,True,0.0,-6,1,86,0.0,94.496
20180107_8,True,True,0.0,-6,1,89,0.0,96.976
20180107_9,True,True,0.0,-5,0,89,0.0,92.832
20180107_10,True,True,0.0,-3,1,83,0.0,108.24
20180107_11,True,True,0.0,-2,1,77,0.0,109.984
20180107_12,True,True,0.0,-1,0,69,0.0,110.752
20180107_13,True,True,0.0,0,0,64,0.0,109.04
20180107_14,True,True,0.0,0,0,60,0.0,108.272
20180107_15,True,True,0.0,2,0,56,0.0,113.712
20180107_16,True,True,0.0,2,1,56,0.0,125.456
20180107_17,True,True,0.0,2,1,57,0.0,127.104
20180107_18,True,True,0.0,1,1,58,0.0,117.52
20180107_19,True,True,0.0,1,0,59,0.0,120.576
20180107_20,True,True,0.0,1,1,59,0.0,125.968
20180107_21,True,True,0.0,1,0,61,0.0,127.2
