tm,rnum,stnId,stnNm,ta,taQcflg,rn,rnQcflg,ws,wsQcflg,wd,wdQcflg,hm,hmQcflg,pv,td,pa,paQcflg,ps,psQcflg,ss,ssQcflg,icsr,dsnw,hr3Fhsc,dc10Tca,dc10LmcsCa,clfmAbbrCd,lcsCh,vs,gndSttCd,dmstMtphNo,ts,tsQcflg,m005Te,m01Te,m02Te,m03Te
2018-01-01 0:00,1,133,대전,-2.2,0,,9,1.4,,320,,70,0,3.6,-6.9,1017.9,0,1026.8,0,,9,,,,0,0,,,2000,,,-1.5,0,-0.4,1.1,3,3.6
2018-01-01 1:00,2,133,대전,-2.5,0,,,1.5,0,320,0,67,0,3.4,-7.7,1018.1,0,1027,0,,9,,,,,,,,2000,,,-1.7,0,-0.6,0.9,2.9,3.5
2018-01-01 2:00,3,133,대전,-2.9,0,,,0.9,0,290,0,63,0,3.1,-8.9,1018.2,0,1027.1,0,,9,,,,,0,,,2000,,,-1.9,0,-0.8,0.9,2.8,3.4
2018-01-01 3:00,4,133,대전,-3,0,,,0.7,0,270,0,64,0,3.1,-8.8,1018.6,0,1027.5,0,,9,,,,0,0,,,2000,,,-2.1,0,-0.8,0.8,2.7,3.4
2018-01-01 4:00,5,133,대전,-3.4,0,,,0.9,0,250,0,73,0,3.5,-7.5,1018.5,0,1027.4,0,,9,,,,0,0,,,1902,,,-2.3,0,-0.9,0.7,2.7,3.3
2018-01-01 5:00,6,133,대전,-4,0,,,1,0,270,0,78,0,3.6,-7.2,1018.6,0,1027.5,0,,9,,,,0,0,,,1640,,,-2.7,0,-1.1,0.6,2.6,3.2
2018-01-01 6:00,7,133,대전,-4.9,0,,,0.2,0,0,0,77,0,3.3,-8.3,1018.5,0,1027.5,0,,9,,,,0,0,,,1912,,,-2.8,0,-1.3,0.6,2.5,3.2
2018-01-01 7:00,8,133,대전,-4.9,0,,,0.8,0,320,0,82,0,3.5,-7.5,1019,0,1028,0,,9,,,,0,0,,,1819,,,-3.1,0,-1.3,0.5,2.5,3.1
2018-01-01 8:00,9,133,대전,-5.2,0,,,1.1,0,320,0,82,0,3.4,-7.7,1019.5,0,1028.5,0,0,0,0,,,0,0,,,1547,,,-3.2,0,-1.4,0.5,2.4,3.1
2018-01-01 9:00,10,133,대전,-4.2,0,,,0.2,0,0,0,80,0,3.6,-7.1,1020.1,0,1029,0,1,0,0.18,,,0,0,,,1597,,,-1.4,0,-1,0.4,2.4,3
