Time,Power
20180101_14,126.82105
20180101_17,85.11962
20180101_19,136.73297
20180101_23,130.64706
20180101_8,117.62938
20180102_13,124.88853
20180102_9,130.03784
20180103_2,132.16449
20180104_16,242.67836
20180104_21,229.53061
20180104_23,215.10913
20180104_8,194.75851
20180104_9,206.05484
20180105_23,206.38136
20180105_3,91.65131
20180105_5,90.67638
20180108_1,111.69794
20180108_12,138.75397
20180108_17,145.88818
20180108_4,111.87071
20180109_20,236.84218
20180110_1,95.98023
20180110_17,216.04854
20180110_23,223.7651
20180110_5,94.88117
20180110_6,94.88117
20180111_23,225.38443
20180111_5,114.06817
20180111_8,177.31726
20180112_3,127.0386
20180113_16,238.85634
20180113_3,138.97781
20180114_18,82.707825
20180114_21,139.35025
20180114_22,131.78241
20180114_3,118.69423
20180114_6,116.17166
20180114_7,100.74512
20180114_9,104.2927
20180115_10,133.19902
20180115_13,130.4049
20180115_17,122.54366
20180116_0,116.49285
20180118_21,218.06476
20180119_21,199.18579
20180119_23,189.0367
20180120_1,102.99879
20180120_5,101.97
20180120_9,189.20798
20180121_16,121.45842
20180121_3,105.36594
20180121_7,62.226223
20180122_5,93.38309
20180122_7,56.139145
20180123_10,262.09003
20180123_12,450.419
20180123_22,214.38406
20180123_4,118.09838
20180124_15,250.0117
20180124_2,118.903694
20180125_10,268.70844
20180125_18,242.92754
20180126_1,204.6483
20180126_23,241.26115
20180126_4,224.02168
20180127_1,194.75674
20180127_13,254.50578
20180127_23,243.37537
20180128_16,144.0159
20180128_20,138.56691
20180129_10,132.85997
20180129_3,119.64336
20180129_4,116.539696
20180130_14,263.37378
20180130_22,254.37361
20180130_4,141.36453
20180131_13,219.32736
20180131_16,234.59673
20180131_22,245.77522
20180201_14,239.75969
20180201_19,220.03612
20180201_20,225.11569
20180201_22,222.94058
20180201_4,96.1255
20180202_21,194.20808
20180203_19,185.85367
20180204_12,126.63536
20180205_1,110.78398
20180205_16,153.62537
20180206_15,278.43634
20180206_2,148.6094
20180207_20,241.39944
20180208_15,250.12904
20180208_20,229.32999
20180208_9,205.42151
20180209_4,160.40225
20180211_5,21.138988
20180212_18,87.4883
20180212_21,139.65599
20180213_14,246.66843
20180213_19,239.03606
20180213_9,220.48772
20180214_12,203.63455
20180214_2,115.64137
20180214_23,195.7811
20180214_6,116.765045
20180215_1,105.85513
20180215_12,175.54562
20180215_15,177.3095
20180215_19,171.77678
20180215_20,173.3492
20180215_22,175.43802
20180215_5,94.822
20180216_10,100.10024
20180216_7,76.05688
20180217_11,112.18533
20180217_19,103.62833
20180217_23,95.39543
20180218_14,111.42134
20180218_17,103.543015
20180218_21,124.58091
20180219_10,126.21204
20180219_16,123.97234
20180219_23,147.94257
20180219_4,106.31613
20180220_0,124.24909
20180220_19,227.75194
20180220_21,235.52676
20180221_10,232.6424
20180221_19,225.76859
20180222_9,204.97455
20180223_15,234.71138
20180224_15,194.40387
20180224_23,180.5885
20180225_1,79.568855
20180225_17,98.32551
20180226_0,90.31953
20180226_19,132.77715
20180226_2,94.938156
20180226_3,93.76676
20180227_2,109.07118
20180227_5,108.19815
20180228_1,113.40404
20180228_17,124.43315
20180228_5,111.53744
20180228_6,111.53744
20180301_8,173.37164
20180302_1,86.24856
20180302_10,124.28879
20180302_13,139.20865
20180302_16,129.4631
20180302_22,124.97253
20180303_12,181.23134
20180304_15,104.10254
20180304_3,90.57235
20180304_6,82.27289
20180304_8,106.94521
20180305_13,75.89974
20180306_0,105.2021
20180306_1,94.81756
20180306_15,184.7985
20180306_4,92.15165
20180307_0,104.48387
20180307_23,113.96969
20180307_7,101.532715
20180307_9,154.66307
20180308_15,176.29552
20180308_18,117.93615
20180308_2,105.88933
20180308_8,169.49619
20180308_9,165.23491
20180309_14,195.25044
20180309_22,136.70901
20180309_9,173.62051
20180310_10,199.13426
20180310_23,131.46962
20180310_7,110.8713
20180310_8,169.04274
20180311_17,106.707344
20180312_0,111.21194
20180312_14,128.82964
20180312_15,133.69969
20180312_9,107.572556
20180313_0,98.27533
20180313_11,139.81096
20180313_21,124.59353
20180314_14,139.64555
20180314_17,119.63951
20180314_22,112.94883
20180315_0,104.17236
20180315_12,104.210434
