Time,Power
20180101_14,131.23155
20180101_17,135.25473
20180101_19,136.74315
20180101_23,134.58461
20180101_8,114.850716
20180102_13,122.169556
20180102_9,121.760925
20180103_2,128.85313
20180104_16,242.57187
20180104_21,244.10649
20180104_23,220.02272
20180104_8,176.031
20180104_9,202.29019
20180105_23,210.3388
20180105_3,93.03139
20180105_5,89.92043
20180108_1,119.124626
20180108_12,168.49556
20180108_17,165.68874
20180108_4,109.824036
20180109_20,232.47272
20180110_1,105.07137
20180110_17,224.97375
20180110_23,220.31497
20180110_5,99.39354
20180110_6,97.96676
20180111_23,233.7595
20180111_5,112.26676
20180111_8,151.47585
20180112_3,124.5225
20180113_16,213.29405
20180113_3,141.96317
20180114_18,106.78492
20180114_21,140.15254
20180114_22,129.32352
20180114_3,108.67303
20180114_6,105.09679
20180114_7,126.98485
20180114_9,96.54536
20180115_10,136.15588
20180115_13,122.262054
20180115_17,130.99828
20180116_0,118.10959
20180118_21,212.62897
20180119_21,213.07658
20180119_23,222.6772
20180120_1,103.8723
20180120_5,90.73903
20180120_9,200.1756
20180121_16,114.83371
20180121_3,99.97688
20180121_7,92.13253
20180122_5,96.83915
20180122_7,72.845726
20180123_10,242.42488
20180123_12,245.6595
20180123_22,222.96793
20180123_4,103.63852
20180124_15,269.6154
20180124_2,111.21073
20180125_10,248.95024
20180125_18,231.99495
20180126_1,215.0449
20180126_23,238.25223
20180126_4,230.1182
20180127_1,196.94067
20180127_13,252.31621
20180127_23,223.81703
20180128_16,134.7968
20180128_20,161.70732
20180129_10,117.350784
20180129_3,113.08133
20180129_4,119.35313
20180130_14,267.44165
20180130_22,241.85999
20180130_4,139.01944
20180131_13,245.28836
20180131_16,213.52376
20180131_22,222.7879
20180201_14,231.65912
20180201_19,200.89961
20180201_20,213.61885
20180201_22,198.57005
20180201_4,96.0868
20180202_21,211.53099
20180203_19,186.07088
20180204_12,157.73807
20180205_1,114.37919
20180205_16,178.25957
20180206_15,271.62097
20180206_2,149.56769
20180207_20,246.56853
20180208_15,242.5802
20180208_20,256.83786
20180208_9,209.87735
20180209_4,156.2461
20180211_5,112.43954
20180212_18,112.35887
20180212_21,144.57846
20180213_14,255.43805
20180213_19,239.1404
20180213_9,187.58493
20180214_12,198.2815
20180214_2,109.85117
20180214_23,205.84055
20180214_6,98.843575
20180215_1,108.54814
20180215_12,152.63051
20180215_15,133.41331
20180215_19,154.05408
20180215_20,149.14642
20180215_22,166.41211
20180215_5,109.34339
20180216_10,129.77892
20180216_7,91.875015
20180217_11,71.92089
20180217_19,90.95273
20180217_23,114.11653
20180218_14,91.16787
20180218_17,90.9025
20180218_21,107.49731
20180219_10,159.49898
20180219_16,170.52293
20180219_23,191.0795
20180219_4,110.34689
20180220_0,122.523315
20180220_19,230.18558
20180220_21,211.22682
20180221_10,207.91628
20180221_19,209.42128
20180222_9,177.667
20180223_15,217.68663
20180224_15,189.97757
20180224_23,177.59547
20180225_1,81.15957
20180225_17,78.98504
20180226_0,96.5894
20180226_19,174.26564
20180226_2,98.7992
20180226_3,96.45331
20180227_2,108.448555
20180227_5,115.92334
20180228_1,97.107445
20180228_17,133.84584
20180228_5,103.09428
20180228_6,99.65002
20180301_8,129.27759
20180302_1,87.783516
20180302_10,145.18947
20180302_13,152.63728
20180302_16,139.1738
20180302_22,135.95001
20180303_12,168.16151
20180304_15,93.005486
20180304_3,87.26069
20180304_6,84.73713
20180304_8,113.22626
20180305_13,102.34779
20180306_0,103.556046
20180306_1,97.21749
20180306_15,178.34572
20180306_4,94.23176
20180307_0,103.38843
20180307_23,109.12998
20180307_7,98.179054
20180307_9,160.47948
20180308_15,212.57355
20180308_18,137.83531
20180308_2,101.90208
20180308_8,153.94508
20180308_9,170.36667
20180309_14,219.88829
20180309_22,154.33577
20180309_9,197.37132
20180310_10,179.94978
20180310_23,120.041046
20180310_7,107.19211
20180310_8,136.64905
20180311_17,111.6691
20180312_0,109.71081
20180312_14,102.33058
20180312_15,99.79228
20180312_9,143.4353
20180313_0,115.420616
20180313_11,139.77855
20180313_21,129.91481
20180314_14,117.85346
20180314_17,114.73097
20180314_22,122.314964
20180315_0,102.354576
20180315_12,105.319786
20180315_19,116.38858
20180315_2,97.5457
20180316_13,131.47519
20180316_16,141.14305
20180316_23,98.757164
20180316_6,67.31715
20180317_1,95.55293
20180317_14,112.836006
20180317_18,107.86292
20180317_7,94.29136
20180318_7,86.43392
20180319_11,98.72904
