Time,Power
20180101_14,138.24158
20180101_17,135.64688
20180101_19,136.16777
20180101_23,135.63084
20180101_8,116.473595
20180102_13,124.23286
20180102_9,122.14249
20180103_2,130.25421
20180104_16,241.68341
20180104_21,245.40947
20180104_23,220.26779
20180104_8,184.84622
20180104_9,210.8184
20180105_23,207.81142
20180105_3,94.33381
20180105_5,89.83436
20180108_1,118.83811
20180108_12,165.58446
20180108_17,163.63422
20180108_4,108.71812
20180109_20,228.76942
20180110_1,104.16944
20180110_17,216.7705
20180110_23,218.67192
20180110_5,98.30822
20180110_6,98.63914
20180111_23,235.1031
20180111_5,113.08143
20180111_8,146.98264
20180112_3,123.647385
20180113_16,213.6572
20180113_3,142.1567
20180114_18,106.63383
20180114_21,142.17725
20180114_22,127.79758
20180114_3,108.01809
20180114_6,104.70399
20180114_7,121.12231
20180114_9,97.4355
20180115_10,131.60129
20180115_13,122.19913
20180115_17,128.90161
20180116_0,117.88671
20180118_21,209.82355
20180119_21,210.02884
20180119_23,219.86525
20180120_1,102.85792
20180120_5,91.00622
20180120_9,195.67642
20180121_16,114.827034
20180121_3,100.78266
20180121_7,90.23421
20180122_5,98.12454
20180122_7,71.83208
20180123_10,245.36565
20180123_12,244.9534
20180123_22,219.51472
20180123_4,102.81948
20180124_15,269.85907
20180124_2,117.19269
20180125_10,247.91176
20180125_18,233.74092
20180126_1,218.15472
20180126_23,237.01761
20180126_4,234.63257
20180127_1,196.41328
20180127_13,254.74982
20180127_23,223.4727
20180128_16,130.75792
20180128_20,161.92601
20180129_10,115.517006
20180129_3,117.107155
20180129_4,121.28665
20180130_14,272.29675
20180130_22,243.63857
20180130_4,138.65091
20180131_13,246.61604
20180131_16,211.93507
20180131_22,225.5599
20180201_14,232.60623
20180201_19,204.98993
20180201_20,214.73477
20180201_22,200.78732
20180201_4,97.3401
20180202_21,207.24783
20180203_19,185.6542
20180204_12,154.51465
20180205_1,113.06171
20180205_16,179.87112
20180206_15,278.58447
20180206_2,149.385
20180207_20,244.91048
20180208_15,243.86862
20180208_20,253.96822
20180208_9,210.43066
20180209_4,155.79132
20180211_5,110.73239
20180212_18,113.45388
20180212_21,145.91316
20180213_14,252.97812
20180213_19,240.09424
20180213_9,182.8598
20180214_12,202.42531
20180214_2,109.09185
20180214_23,209.27754
20180214_6,98.25833
20180215_1,106.26594
20180215_12,150.71999
20180215_15,137.52005
20180215_19,146.87415
20180215_20,147.35255
20180215_22,161.81908
20180215_5,109.97717
20180216_10,138.37396
20180216_7,92.213295
20180217_11,70.158585
20180217_19,94.99996
20180217_23,111.481926
20180218_14,86.8218
20180218_17,92.20673
20180218_21,110.403305
20180219_10,163.82741
20180219_16,168.87857
20180219_23,198.7548
20180219_4,110.86556
20180220_0,121.34641
20180220_19,228.87706
20180220_21,212.1361
20180221_10,204.90717
20180221_19,215.0353
20180222_9,178.37161
20180223_15,218.18083
20180224_15,186.77878
20180224_23,180.3437
20180225_1,81.679214
20180225_17,79.36281
20180226_0,97.68553
20180226_19,170.51482
20180226_2,101.19654
20180226_3,95.8575
20180227_2,109.8336
20180227_5,117.94143
20180228_1,96.3447
20180228_17,134.91722
20180228_5,105.3342
20180228_6,100.29186
20180301_8,132.18108
20180302_1,87.33248
20180302_10,153.7617
20180302_13,150.26968
20180302_16,141.16374
20180302_22,137.07935
20180303_12,166.17078
20180304_15,92.36083
20180304_3,87.045654
20180304_6,85.67938
20180304_8,113.54678
20180305_13,105.685844
20180306_0,102.15247
20180306_1,97.29002
20180306_15,180.07584
20180306_4,93.18483
20180307_0,105.60119
20180307_23,107.92499
20180307_7,98.57223
20180307_9,159.76782
20180308_15,214.67432
20180308_18,136.08717
