Time,Power
20180101_14,102.747925
20180101_17,120.212036
20180101_19,133.09729
20180101_23,133.13843
20180101_8,104.91701
20180102_13,117.597206
20180102_9,111.38735
20180103_2,134.44115
20180104_16,244.97714
20180104_21,233.9132
20180104_23,212.39586
20180104_8,168.09702
20180104_9,195.3329
20180105_23,180.41872
20180105_3,89.12859
20180105_5,89.0514
20180108_1,113.526535
20180108_12,150.53793
20180108_17,150.77284
20180108_4,109.99646
20180109_20,263.54984
20180110_1,89.400085
20180110_17,188.25308
20180110_23,181.3724
20180110_5,65.388084
20180110_6,50.10013
20180111_23,184.35208
20180111_5,113.66644
20180111_8,165.22589
20180112_3,121.645004
20180113_16,253.20488
20180113_3,160.77899
20180114_18,126.40275
20180114_21,135.87193
20180114_22,136.49837
20180114_3,108.08126
20180114_6,99.85302
20180114_7,99.11664
20180114_9,112.9051
20180115_10,105.69322
20180115_13,108.20305
20180115_17,128.82439
20180116_0,120.674446
20180118_21,192.04002
20180119_21,210.18489
20180119_23,202.65881
20180120_1,120.13418
20180120_5,95.34506
20180120_9,226.29158
20180121_16,111.195625
20180121_3,100.51287
20180121_7,99.661766
20180122_5,96.650406
20180122_7,97.55987
20180123_10,238.06937
20180123_12,246.92162
20180123_22,240.97325
20180123_4,104.59526
20180124_15,269.20673
20180124_2,124.32333
20180125_10,250.30334
20180125_18,250.97003
20180126_1,192.86124
20180126_23,211.20856
20180126_4,232.83162
20180127_1,194.58974
20180127_13,254.00766
20180127_23,179.9433
20180128_16,116.874466
20180128_20,140.84366
20180129_10,89.93709
20180129_3,105.137794
20180129_4,101.96492
20180130_14,298.61807
20180130_22,267.1098
20180130_4,123.33109
20180131_13,243.32309
20180131_16,236.01015
20180131_22,245.78952
20180201_14,247.82175
20180201_19,188.06604
20180201_20,219.05205
20180201_22,246.32805
20180201_4,84.64041
20180202_21,214.68573
20180203_19,165.90746
20180204_12,113.86645
20180205_1,127.65039
20180205_16,176.25092
20180206_15,263.9542
20180206_2,130.91666
20180207_20,260.30255
20180208_15,248.40286
20180208_20,286.83624
20180208_9,221.48083
20180209_4,151.65129
20180211_5,89.89521
20180212_18,113.91504
20180212_21,190.23653
20180213_14,269.98596
20180213_19,203.6343
20180213_9,222.94627
20180214_12,221.40804
20180214_2,117.89543
20180214_23,169.37888
20180214_6,83.496796
20180215_1,95.97239
20180215_12,183.47623
20180215_15,148.20828
20180215_19,130.58331
20180215_20,164.5964
20180215_22,236.41747
20180215_5,101.02556
20180216_10,78.82336
20180216_7,90.10503
20180217_11,75.83767
20180217_19,77.016525
20180217_23,95.13831
20180218_14,83.14005
20180218_17,103.067314
20180218_21,114.97253
20180219_10,96.059616
20180219_16,152.92072
20180219_23,149.41893
20180219_4,111.681915
20180220_0,142.21512
20180220_19,185.02861
20180220_21,249.53705
20180221_10,196.61171
20180221_19,180.44118
20180222_9,192.94589
20180223_15,261.8972
20180224_15,212.51143
20180224_23,143.07657
20180225_1,82.942276
20180225_17,104.4669
20180226_0,103.930435
20180226_19,110.22122
20180226_2,99.93728
20180226_3,96.40887
20180227_2,101.99062
20180227_5,105.22925
20180228_1,78.43144
20180228_17,108.813484
20180228_5,71.12023
20180228_6,54.540756
20180301_8,133.92566
20180302_1,89.92
20180302_10,80.200424
20180302_13,92.3079
20180302_16,131.97021
20180302_22,119.282875
20180303_12,164.71904
20180304_15,90.57396
20180304_3,95.25578
20180304_6,82.382576
20180304_8,92.813576
20180305_13,74.565094
20180306_0,92.67289
20180306_1,78.63675
20180306_15,238.08493
20180306_4,78.340515
20180307_0,99.373634
20180307_23,117.955734
20180307_7,126.4632
20180307_9,160.13412
20180308_15,202.60257
20180308_18,118.977776
20180308_2,105.95401
20180308_8,124.405975
20180308_9,170.8048
20180309_14,230.39304
20180309_22,129.14232
20180309_9,227.26553
20180310_10,213.19788
20180310_23,118.73089
20180310_7,114.83911
20180310_8,160.52225
20180311_17,108.409096
20180312_0,108.32889
20180312_14,89.28028
20180312_15,96.05313
20180312_9,168.64941
20180313_0,110.92734
20180313_11,129.51122
20180313_21,137.77943
20180314_14,125.52908
20180314_17,115.632866
20180314_22,110.95216
20180315_0,102.64444
20180315_12,100.49355
20180315_19,103.92801
20180315_2,96.15542
20180316_13,113.61945
20180316_16,117.50954
20180316_23,92.438065
